Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,"Marital Status",Children,Housing,"Other Pets",NumPets,Gender,Specie,Chip,Sex,Race,Age,State
Pages,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,,,,,,
Animal,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,dog,no,unknow,caniche,4,unknown
PublicationAdoption,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,dog,yes,unknow,yorkshire,0,unknown
PublicationAdoption,Maria,Venezuela,Avila,Huelva,16972,4144,1974,654,1516,633,53,Cerrajero,Contabilidad y fiscalización,,9,loft,snake,14,male,turtles,yes,intact_female,Balkan Hound,7,foster
Animal,Louise,Cuba,Jaén,Almendralejo,85212,2470,1601,689,180,1364,16,Frutero,Tecnologías de la información y comunicación,single,2,quadplex,,19,male,other,unknown,neutered_female,Dogo del Tibet,16,other
PublicationAdoption,Deann,Panama,Salamanca,,53044,2087,610,929,548,1085,42,Arquitecto,Ciencias políticas,divorced,18,studio,hamster,7,nobinary,dog,no,unknow,Terrier japonés (Nihon teria),3,adopted
AnimalShelter,Sergio,Uruguay,Cantabria,Castile–La Mancha,94194,3220,1659,482,1079,617,5,Mecánico,Negocios y comercio,married,6,,snake,4,male,hamster,unknown,castrated_male,Bedlington Terrier,20,dead
AnimalShelter,Paul,Argentina,León,Trujillo,32350,1907,160,1398,349,679,67,Frutero,Psicología,,20,detached house,cat,1,female,dog,unknown,unknow,Spaniel Azul de Picardía,2,dead
Animal,Kathleen,Colombia,Menorca,Simancas,60189,1978,498,1083,397,896,69,Paleontólogo,Bellas artes,single,18,detached house,cat,8,,bunny,,intact_female,Fila Brasileiro,4,healthy
PublicationAdoption,Carla,Honduras,Huesca,San Martín del Rey Aurelio,75562,904,68,574,262,1521,17,Frutero,Sociología y antropología,married,17,duplex,,15,other,snake,yes,intact_male,Schipperke,18,other
AnimalAdoption,Gladys,Colombia,Orense,Palencia,34825,1893,525,329,1039,1701,61,Músico,ESO,married,7,detached house,bunny,5,female,cat,unknown,intact_female,Spaniel Alemán (German Wachtelhund),10,dead
Pages,Curt,Republica Dominicana,Segovia,Morón de la Frontera,62737,2968,1531,98,1339,290,76,Mecánico,ESO,married,8,terraced house,bunny,2,nobinary,,,,,0,
PublicationAdoption,Chandra,Alemania,Vizcaya,Lora del Río,92278,2184,1154,803,227,1685,37,Lavandero,Psicología,married,15,apartment,snake,12,male,snake,no,unknow,English Springer Spaniel,15,adopted
Animal,Charles,Reino Unido,Asturias,Osuna,18975,4562,677,1927,1958,1474,74,Químico,Sociología y antropología,relationship,11,quadplex,other,8,female,snake,,unknow,Austrian Black & Tan Hound,9,foster
AnimalShelter,Marie,Alemania,Asturias,Priego de Córdoba,68427,1310,902,193,215,830,85,,Mercadotecnia y publicidad,separated,15,attic,turtles,1,other,hamster,unknown,neutered_female,Basset de Artois,11,adopted
Animal,Georgia,Cuba,Jaén,Huesca,75084,3557,310,1874,1373,147,34,Politólogo,Ingeniería Informatica,married,18,terraced house,snake,18,nobinary,turtles,no,castrated_male,Sabueso Yugoslavo de Montaña,3,sick
AnimalShelter,Felicia,Peru,Vizcaya,Vigo,24472,3357,1204,1922,231,1251,43,Profesor,Trabajo y atención social,,5,apartment,cat,18,female,other,yes,castrated_male,Griffon de pelo duro (Grifón Korthals),5,dead
